date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,year,month,quarter,month_name
2024-08-26,0.0137641118787109,169339127.33952013,17447638.426962286,one,Harmony,1845844,0.1030337093445643,-0.1992074385518627,-0.1910228429905847,3.119258059596341,2024,8,3,August
2024-08-27,0.0128566806299367,158403116.45426634,8961734.383849194,one,Harmony,1673968,0.0565754928592998,-6.592733746793355,-6.458053172393763,-9.311512782228617,2024,8,3,August
2024-08-28,0.0121240193399235,149105474.23223007,7764756.819659168,one,Harmony,1764125,0.0520755985629719,-5.698681573432173,-5.8696081429184925,5.385825774447306,2024,8,3,August
2024-08-29,0.0120754159545201,148583180.65351173,7027164.608084022,one,Harmony,1603454,0.0472944823039628,-0.4008850863781665,-0.3502846434094486,-9.107687947282647,2024,8,3,August
2024-08-30,0.0115785351271965,142411645.30318353,5360729.208265585,one,Harmony,1656191,0.0376424919243998,-4.11481334634789,-4.153589473037266,3.2889624523060768,2024,8,3,August
2024-08-31,0.0113235540722414,139390441.730783,7011286.675351658,one,Harmony,1566694,0.0502996230465584,-2.202187514689935,-2.1214582318522024,-5.403784949924251,2024,8,3,August
2024-09-01,0.0109254742613952,134442616.29494134,5374170.85930512,one,Harmony,1543837,0.0399737152356156,-3.5155023617720493,-3.5496160098249963,-1.4589319931013978,2024,9,3,September
2024-09-02,0.0104345231140322,128657208.01665224,4736048.505783718,one,Harmony,1532547,0.0368113732513978,-4.493636940757739,-4.303254754874031,-0.7312948193364921,2024,9,3,September
2024-09-03,0.0113759284593294,139833312.8344268,7109379.540566171,one,Harmony,1559796,0.0508418158481606,9.022025587649374,8.686730413369471,1.7780205109533265,2024,9,3,September
2024-09-04,0.0107480759100168,132428022.52192432,5163458.315342756,one,Harmony,1520142,0.0389906774790653,-5.519132364071922,-5.295798377651895,-2.542255525722592,2024,9,3,September
2024-09-05,0.0111255078822775,136863793.9625555,6720216.021151779,one,Harmony,1544025,0.0491014886156842,3.511623619153448,3.349571605886359,1.5711032258828528,2024,9,3,September
2024-09-06,0.0109080862832866,134352157.33006138,4989958.546221387,one,Harmony,1499970,0.0371408888802776,-1.9542622349607464,-1.8351359112412704,-2.853256909700297,2024,9,3,September
2024-09-07,0.0104872826454201,128936733.2451644,6997138.720881692,one,Harmony,1459458,0.0542680006292474,-3.857721940751668,-4.030768238125848,-2.700854017080345,2024,9,3,September
2024-09-08,0.010663881623728,131029005.30928016,3591799.956689185,one,Harmony,1531965,0.027412250808217,1.6839345737003963,1.6227121716644088,4.968077190299414,2024,9,3,September
2024-09-09,0.0109512912851452,134915852.2146696,4488455.618769607,one,Harmony,1567974,0.0332685562525881,2.6951692784889847,2.9664019017887844,2.3505106187151847,2024,9,3,September
2024-09-10,0.0117548747594494,144619109.90496323,7060543.546727478,one,Harmony,2174563,0.0488216498591875,7.337796551848053,7.192081235090497,38.68616443895117,2024,9,3,September
